problem size,num_proc,runtime
70000000,15,3.691762
70000000,15,3.643119
70000000,15,3.611258
70000000,15,4.932077
70000000,15,3.380567
80000000,15,5.711904
80000000,15,4.458914
80000000,15,4.288502
80000000,15,4.830675
80000000,15,4.485431
80000000,15,4.703083
80000000,15,4.274467
80000000,15,4.115933
80000000,15,4.942348
80000000,15,4.241642
90000000,15,4.706817
90000000,15,5.563671
90000000,15,5.176126
90000000,15,4.880629
90000000,15,5.174033
90000000,15,4.900630
90000000,15,4.907134
90000000,15,4.646534
90000000,15,5.107054
90000000,15,4.932128
100000000,15,6.226501
100000000,15,5.686408
100000000,15,5.851943
100000000,15,6.081721
100000000,15,5.267125
100000000,15,5.108256
100000000,15,5.675174
100000000,15,6.177400
100000000,15,5.366732
100000000,15,5.390728
50000000,16,2.625582
50000000,16,2.527252
50000000,16,2.677775
50000000,16,3.159344
50000000,16,2.802601
50000000,16,2.705442
50000000,16,2.837601
50000000,16,3.379148
50000000,16,2.988693
50000000,16,2.836098
60000000,16,3.757941
60000000,16,3.448028
60000000,16,3.105850
60000000,16,3.221636
60000000,16,3.445052
60000000,16,3.142481
60000000,16,3.207593
60000000,16,3.008532
60000000,16,3.234275
60000000,16,2.715957
70000000,16,3.744463
70000000,16,4.222975
70000000,16,3.580931
70000000,16,3.881435
70000000,16,3.672421
70000000,16,3.645058
70000000,16,3.682336
70000000,16,3.712204
70000000,16,4.196227
70000000,16,3.836643
80000000,16,4.372565
80000000,16,4.074737
80000000,16,5.183505
80000000,16,4.178716
80000000,16,4.045485
80000000,16,5.161051
80000000,16,4.534285
80000000,16,4.166481
80000000,16,4.910551
80000000,16,4.303488
90000000,16,4.535003
90000000,16,4.594463
90000000,16,5.684176
90000000,16,5.601212
90000000,16,4.762344
90000000,16,5.486733
90000000,16,4.803529
90000000,16,5.323087
90000000,16,4.297882
90000000,16,4.865219
100000000,16,4.950011
100000000,16,5.387803
100000000,16,5.930235
100000000,16,5.856394
100000000,16,5.545758
100000000,16,5.974724
100000000,16,5.668670
100000000,16,5.353107
100000000,16,6.196090
100000000,16,5.721652
1000000,1,0.316681
1000000,1,0.324344
1000000,1,0.311577
1000000,1,0.314011
1000000,1,0.316889
1000000,1,0.310418
1000000,1,0.315198
1000000,1,0.317059
1000000,1,0.311695
1000000,1,0.318706
1000000,2,0.170747
1000000,2,0.172271
1000000,2,0.173953
1000000,2,0.173454
1000000,2,0.166476
