problem size,num_proc,runtime
20000000,14,0.718039
20000000,14,0.901390
20000000,14,0.842469
20000000,14,0.808070
20000000,14,0.959547
20000000,14,0.913141
20000000,14,0.978798
20000000,16,0.895763
20000000,16,1.012995
20000000,16,0.814597
20000000,16,0.771155
20000000,16,0.773837
20000000,16,0.895878
20000000,16,0.863570
20000000,16,0.770224
20000000,16,0.829698
20000000,16,0.855304
20000000,18,0.751672
20000000,18,0.717668
20000000,18,0.802321
20000000,18,1.083777
20000000,18,0.768651
20000000,18,0.955625
20000000,18,0.828138
20000000,18,0.913848
20000000,18,0.787638
20000000,18,0.824226
20000000,20,0.718276
20000000,20,0.729592
20000000,20,0.839942
20000000,20,0.708680
20000000,20,0.780007
20000000,20,0.832080
20000000,20,0.826202
20000000,20,0.772786
20000000,20,0.702610
20000000,20,0.706378
40000000,1,9.924075
40000000,1,9.883529
40000000,1,9.449880
40000000,1,9.535686
40000000,1,9.489211
40000000,1,9.640859
40000000,1,9.577854
40000000,1,9.563201
40000000,1,10.035798
40000000,1,9.824609
40000000,2,4.932325
40000000,2,4.918036
40000000,2,4.904906
40000000,2,4.909552
40000000,2,4.897693
40000000,2,4.869290
40000000,2,4.821158
40000000,2,4.893081
40000000,2,4.905106
40000000,2,4.876072
40000000,4,2.725609
40000000,4,2.762323
40000000,4,2.903791
40000000,4,2.789341
40000000,4,2.656377
40000000,4,2.935483
40000000,4,2.784424
40000000,4,2.862073
40000000,4,2.885354
40000000,4,2.655963
40000000,8,2.030745
40000000,8,1.951045
40000000,8,2.077891
40000000,8,2.001667
40000000,8,1.939415
40000000,8,1.889260
40000000,8,2.034979
40000000,8,1.911468
40000000,8,1.923782
40000000,8,1.938921
40000000,12,1.763160
40000000,12,1.577873
40000000,12,1.537215
40000000,12,1.665994
40000000,12,1.840643
40000000,12,1.760723
40000000,12,1.813539
40000000,12,1.847844
40000000,12,1.600658
40000000,12,1.679760
40000000,14,1.910746
40000000,14,1.866376
40000000,14,1.587243
40000000,14,1.517171
40000000,14,1.632680
40000000,14,1.617160
40000000,14,1.715872
40000000,14,1.625713
40000000,14,1.445061
40000000,14,1.407138
40000000,16,1.597462
40000000,16,1.455303
40000000,16,1.508551
40000000,16,1.671180
40000000,16,1.614173
40000000,16,1.349514
40000000,16,1.524735
40000000,16,1.594287
40000000,16,1.941953
40000000,16,1.416676
40000000,18,1.504887
40000000,18,1.392855
40000000,18,1.565443
40000000,18,1.322052
40000000,18,1.439736
40000000,18,1.356933
40000000,18,1.981754
40000000,18,1.449008
40000000,18,1.687606
40000000,18,1.589303
40000000,20,1.573249
40000000,20,1.392869
40000000,20,1.428661
40000000,20,1.348950
40000000,20,1.284751
40000000,20,1.635640
40000000,20,1.216482
40000000,20,1.285434
40000000,20,1.273070
40000000,20,1.886581
60000000,1,14.363625
60000000,1,14.652937
60000000,1,14.591781
60000000,1,14.619278
60000000,1,14.672117
60000000,1,14.356814
60000000,1,14.567048
60000000,1,14.880728
60000000,1,14.417452
60000000,1,15.252687
60000000,2,7.465845
60000000,2,7.377917
60000000,2,7.432630
60000000,2,7.552667
60000000,2,7.554009
60000000,2,7.465621
60000000,2,7.777303
60000000,2,7.428019
60000000,2,7.594091
60000000,2,7.502627
60000000,4,4.413994
60000000,4,4.181529
60000000,4,4.061760
60000000,4,4.173607
60000000,4,4.079330
60000000,4,4.033452
60000000,4,4.496278
60000000,4,4.072341
60000000,4,4.225151
60000000,4,4.134456
60000000,8,3.061231
60000000,8,2.856714
60000000,8,2.997662
60000000,8,2.770671
60000000,8,2.952521
60000000,8,2.918728
60000000,8,2.900663
60000000,8,2.883492
60000000,8,2.738894
60000000,8,2.869267
60000000,12,3.633728
60000000,12,3.770312
60000000,12,2.349167
60000000,12,2.613824
60000000,12,2.670629
60000000,12,2.249159
60000000,12,2.331762
60000000,12,2.341402
60000000,12,2.639974
60000000,12,2.297689
60000000,14,2.316970
60000000,14,2.291033
60000000,14,2.364304
60000000,14,2.685136
60000000,14,2.410946
60000000,14,2.749502
60000000,14,2.334774
60000000,14,2.381728
60000000,14,2.450288
60000000,14,2.227734
60000000,16,2.287040
60000000,16,2.193350
60000000,16,2.148585
60000000,16,2.688268
60000000,16,2.092298
60000000,16,2.452648
60000000,16,2.368876
60000000,16,2.156550
60000000,16,2.303112
60000000,16,2.071396
60000000,18,2.456229
60000000,18,2.457366
60000000,18,1.954178
60000000,18,2.080795
60000000,18,2.266631
60000000,18,2.338778
60000000,18,2.316612
60000000,18,1.975233
